Connecting to host 192.168.3.2, port 10021
[  6] local 192.168.2.2 port 40290 connected to 192.168.3.2 port 10021
[  6]  45.00-46.00  sec  0.00 Bytes  0.00 bits/sec    0   4.47 MBytes       
[  6]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec    0   4.48 MBytes       
[  6]  47.00-48.00  sec  41.9 MBytes   351 Mbits/sec    0   4.48 MBytes       
[  6]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec    0   4.49 MBytes       
[  6]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec    0   4.49 MBytes       
[  6]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec    0   4.50 MBytes       
[  6]  51.00-52.00  sec  0.00 Bytes  0.00 bits/sec    0   4.52 MBytes       
[  6]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec    0   4.56 MBytes       
[  6]  53.00-54.00  sec  0.00 Bytes  0.00 bits/sec    0   4.60 MBytes       
[  6]  54.00-55.00  sec  0.00 Bytes  0.00 bits/sec    0   4.67 MBytes       
[  6]  55.00-56.00  sec  0.00 Bytes  0.00 bits/sec    0   4.75 MBytes       
[  6]  56.00-57.00  sec  0.00 Bytes  0.00 bits/sec    0   4.87 MBytes       
[  6]  57.00-58.00  sec  0.00 Bytes  0.00 bits/sec    0   5.00 MBytes       
[  6]  58.00-59.00  sec  0.00 Bytes  0.00 bits/sec    0   5.17 MBytes       
[  6]  59.00-60.00  sec  0.00 Bytes  0.00 bits/sec  113   4.76 MBytes       
[  6]  60.00-61.00  sec  0.00 Bytes  0.00 bits/sec  123   3.79 MBytes       
[  6]  61.00-62.00  sec  0.00 Bytes  0.00 bits/sec   54   3.69 MBytes       
[  6]  62.00-63.00  sec  0.00 Bytes  0.00 bits/sec    0   3.49 MBytes       
[  6]  63.00-64.00  sec  41.9 MBytes   351 Mbits/sec    0   2.69 MBytes       
[  6]  64.00-65.00  sec  0.00 Bytes  0.00 bits/sec    0   2.63 MBytes       
[  6]  65.00-66.00  sec  0.00 Bytes  0.00 bits/sec    0   2.73 MBytes       
[  6]  66.00-67.00  sec  0.00 Bytes  0.00 bits/sec    0   2.84 MBytes       
[  6]  67.00-68.00  sec  0.00 Bytes  0.00 bits/sec    0   2.93 MBytes       
[  6]  68.00-69.00  sec  0.00 Bytes  0.00 bits/sec    0   3.00 MBytes       
[  6]  69.00-70.00  sec  0.00 Bytes  0.00 bits/sec    0   3.04 MBytes       
[  6]  70.00-71.00  sec  0.00 Bytes  0.00 bits/sec    0   3.09 MBytes       
[  6]  71.00-72.00  sec  0.00 Bytes  0.00 bits/sec    0   3.11 MBytes       
[  6]  72.00-73.00  sec  0.00 Bytes  0.00 bits/sec    0   3.13 MBytes       
[  6]  73.00-74.00  sec  0.00 Bytes  0.00 bits/sec    0   3.13 MBytes       
[  6]  74.00-75.00  sec  0.00 Bytes  0.00 bits/sec    0   3.14 MBytes       
