rlcThroughputDl:vector ExtClientServerExample.ue.cellularNic.nrRlc.um (#0 - test-0-20250830-13:43:36-16472),
0.77,1083058.4415583997
0.77,1084997.402597399891
0.771,1085526.588845700023
0.772,1086054.404145099685
0.772,1087988.341968900056
0.773,1088512.289780099873
0.773,1090443.725743900051
0.774,1090963.824289399662
0.775,1091482.580645199863
0.775,1093409.032258099873
0.776,1093923.96907219989
0.777,1094437.580437599679
0.777,1096359.07335909968
0.778,1096868.89460149966
0.778,1098787.917737799695
0.779,1099293.96662389999
0.78,1099798.717948699833
0.78,1101712.82051280001
0.781,1102213.82842510007
0.781,1104125.480153599751
0.782,1104622.762148299716
0.783,1105118.773946399798
0.783,1107025.542784200048
0.784,1107517.857142899648
0.784,1109422.193877599665
0.785,1109910.828025499821
0.786,1110398.218829500021
0.786,1112297.709923699961
0.787,1112781.448538799767
0.787,1114678.526048299853
0.788,1115158.629441599825
0.789,1115637.515842800026
0.789,1117529.78453739965
0.79,1118005.063291099853
0.79,1119894.936708899678
0.791,1120366.624525899996
0.792,1120837.121212099676
0.792,1122722.22222219966
0.793,1123189.155107199676
0.793,1125071.878940700085
0.794,1125535.264483599921
0.795,1125997.484276699829
0.795,1127875.471698099745
0.796,1128334.170854299792
0.797,1128791.718946000091
0.797,1130664.993726499841
0.798,1131119.047619000075
0.798,1132989.974937299728
0.799,1133440.550688399929
0.8,1133890
0.8,1135756.25
0.801,1136202.247190999795
0.801,1138066.167290899901
0.802,1138508.728179600087
0.803,1138950.186799499669
0.803,1140809.464508099945
0.804,1141247.512437799942
0.804,1143104.477611899838
0.805,1143539.130434799938
0.806,1143972.704714599994
0.806,1145825.062034700063
0.807,1146255.266418799756
0.807,1148105.328376699701
0.808,1148532.178217799864
0.809,1148957.972805900031
0.809,1150803.461062999904
0.81,1151225.92592589976
0.81,1153069.135802499947
0.811,1153488.286066599653
0.812,1153906.403940899761
0.812,1155745.07389159966
0.813,1156159.90159899974
0.814,1156573.710073699706
0.814,1158407.862407899923
0.815,1158818.404908000023
0.815,1160650.30674850009
0.816,1161057.59803920006
0.817,1161463.892288899977
0.817,1163291.309669499747
0.818,1163694.376528100108
0.818,1165519.559902200006
0.819,1165919.413919399956
0.82,1166318.29268290009
0.82,1168139.024390199683
0.821,1168534.713763699863
0.821,1170353.227771000001
0.822,1170745.742092499972
0.823,1171137.302551599682
0.823,1172951.397326899688
0.824,1173339.805825199928
0.824,1175151.699029099657
0.825,1175536.969696999988
0.826,1175921.307506099806
0.826,1177728.813559299797
0.827,1178110.036275699732
0.827,1179915.356710999736
0.828,1180293.47826089989
0.829,1180670.687575399875
0.829,1182471.652593499977
0.83,1182845.783132500012
0.831,1183219.013237100091
0.831,1185015.643802599977
0.832,1185385.817307699933
0.832,1187180.288461499843
0.833,1187547.418967599977
0.834,1187913.669064699668
0.834,1189703.836930499875
0.835,1190067.065868299917
0.835,1191855.089820399878
0.836,1192215.311004799788
0.837,1192574.671445599755
0.837,1194358.422939099833
0.838,1194714.797135999888
0.838,1196496.420047699937
0.839,1196849.82121569989
0.84,1197202.380952399687
0.84,1198979.761904799841
0.841,1199329.369797899851
0.841,1201104.637336499986
0.842,1201451.306413299865
0.843,1201797.15302489977
0.843,1203568.208778199737
0.844,1203911.137440799731
0.844,1205680.094786699858
0.845,1206020.118343200066
0.846,1206359.338061499872
0.846,1208124.113475199786
0.847,1208460.448642299972
0.847,1210223.140495900062
0.848,1210556.603773599953
0.849,1210889.281507699747
0.849,1212647.820965799966
0.85,1212977.64705879986
0.851,1213306.698002399875
0.851,1215061.104582800062
0.852,1215387.323943699707
0.852,1217139.671361499927
0.853,1217463.071512300052
0.854,1217785.714285700113
0.854,1219533.957845400083
0.855,1219853.801169599868
0.855,1221600
0.856,1221917.056074799966
0.857,1222233.372228699732
0.857,1223975.495916000098
0.858,1224289.044288999863
0.858,1226029.137529099823
0.859,1226339.930151300035
0.86,1226650
0.86,1228386.046511599791
0.861,1228693.379790899806
0.861,1230427.409988400057
0.862,1230732.018561499657
0.863,1231035.921205099668
0.863,1232765.932792599776
0.864,1233067.129629599858
0.864,1234795.1388888997
0.865,1235093.641618499995
0.866,1235391.454965400041
0.866,1237115.473441099745
0.867,1237410.611303299663
0.868,1237705.069124399681
0.868,1239425.115207399703
0.869,1239716.915995399931
0.869,1241434.982738799878
0.87,1241724.137930999972
0.871,1242012.629161899906
0.871,1243726.750861099918
0.872,1244012.614678899755
0.872,1245724.770642200016
0.873,1246008.018327599853
0.874,1246290.617848999796
0.874,1247998.855835199818
0.875,1248278.857142899647
0.875,1249985.14285709988
0.876,1250262.557077599687
0.877,1250539.338654499962
0.877,1252241.733181300105
0.878,1252515.9453302999
0.878,1254216.400911199856
0.879,1254488.054607499853
0.88,1254759.090909099668
0.88,1256455.681818199806
0.881,1256724.177071500101
0.881,1258418.842224699907
0.882,1258684.807256199882
0.883,1258950.169875399672
0.883,1260640.996602499855
0.884,1260903.846153799907
0.884,1262592.760180999987
0.885,1262853.107344599903
0.886,1263112.866817200087
0.886,1264797.968397299756
0.887,1265055.242390099911
0.888,1265311.936936900016
0.888,1266993.24324319977
0.889,1267247.469066400078
0.889,1268926.88413950009
0.89,1269178.651685399931
0.891,1269429.854096499733
0.891,1271105.499438799913
0.892,1271354.260089700107
0.892,1273028.026905799747
0.893,1273274.356102999762
0.894,1273520.134228199718
0.894,1275190.156599599865
0.895,1275433.519553099756
0.895,1277101.675977699921
0.896,1277342.633928599765
0.897,1277583.054626499766
0.897,1279247.49163879966
0.898,1279485.523385299833
0.898,1281148.10690419981
0.899,1281383.759732999835
0.9,1281618.8888888997
0.9,1283277.777777799868
0.901,1283510.543840199707
0.901,1285167.591564899772
0.902,1285398.004434600005
0.903,1285627.906976699828
0.903,1287281.284606900063
0.904,1287508.849557499863
0.905,1287735.911602200006
0.905,1289385.635359100063
0.906,1289610.375275899653
0.906,1291258.278145699757
0.907,1291480.70562289981
0.908,1291702.643171799831
0.908,1293346.916299599685
0.909,1293566.55665569985
0.909,1295209.020902100016
0.91,1295426.373626399782
0.911,1295643.249176699665
0.911,1297282.107574099672
0.912,1297496.71052629966
0.912,1299133.771929800041
0.913,1299346.111719599922
0.914,1299557.986870899795
0.914,1301191.466083199713
0.915,1301401.092896199782
0.915,1303032.786885200066
0.916,1303240.174672499762
0.917,1303447.110141799782
0.917,1305075.245365299747
0.918,1305279.956426999993
0.918,1306906.318082799667
0.919,1307108.813928199928
0.92,1307310.869565200057
0.92,1308933.695652199906
0.921,1309133.550488600038
0.922,1309332.971800399941
0.922,1310952.277657299766
0.923,1311149.512459400106
0.923,1312767.063921999648
0.924,1312962.121212099676
0.925,1313156.756756799757
0.925,1314770.810810799707
0.926,1314963.28293740004
0.926,1316575.593952499792
0.927,1316765.911542600016
0.928,1316955.818965499751
0.928,1318564.655172399707
