SduBuffer:vector ExtClientServerExample.gnb.cellularNic.rlc.UmTxEntity Lcid: 1 (#0 - test-0-20250830-13:43:36-16472),
0.788,21
0.788,20
0.7883711948,21
0.7887172368,22
0.7889780438,23
0.789,22
0.789,21
0.7894445308,22
0.7897904158,23
0.79,22
0.791,21
0.791,20
0.792,19
0.7923078718,20
0.7926860598,21
0.793,20
0.793,19
0.7932118028,20
0.7935585798,21
0.7938790358,22
0.794,21
0.794,20
0.7943756518,21
0.7947202558,22
0.795,21
0.7956254528,22
0.7959635248,23
0.796,22
0.796,21
0.7964730758,22
0.7968140928,23
0.797,22
0.797,21
0.7973587098,22
0.7977024938,23
0.798,22
0.7982304378,23
0.7985694468,24
0.7988875248,25
0.799,24
0.799,23
0.7993244438,24
0.7996747138,25
0.7999409458,26
0.8,25
0.8,24
0.8004264578,25
0.8007801638,26
0.801,25
0.802,24
0.802,23
0.803,22
0.803,21
0.8033841798,22
0.8037696748,23
0.804,22
0.8043013728,23
0.8046645968,24
0.8049887588,25
0.805,24
0.805,23
0.8054755798,24
0.8058301278,25
0.806,24
0.806,23
0.8067408178,24
0.807,23
0.8072839058,24
0.8076298828,25
0.8079483638,26
0.808,25
0.808,24
0.8084789428,25
0.8088350458,26
0.809,25
0.8093715878,26
0.8097180778,27
0.81,26
0.81,25
0.8102352518,26
0.8105762328,27
0.8108945058,28
0.811,27
0.811,26
0.8113475618,27
0.8117004348,28
0.8119622608,29
0.812,28
0.813,27
0.813,26
0.8139375048,27
0.814,26
0.814,25
0.8145081768,26
0.8148567328,27
0.815,26
0.8153805898,27
0.8157287818,28
0.816,27
0.816,26
0.8162497248,27
0.8166031398,28
0.8169235408,29
0.817,28
0.817,27
0.8178435058,28
0.818,27
0.8183872538,28
0.8187417558,29
0.819,28
0.819,27
0.8192729358,28
0.8196330608,29
0.8199579408,30
0.82,29
0.82,28
0.8204729278,29
0.8208255968,30
0.821,29
0.8213642978,30
0.8217174608,31
0.822,30
0.822,29
0.8222521018,30
0.8226056368,31
0.8228746588,32
0.823,31
0.823,30
0.824,29
0.825,28
0.825,27
0.826,26
0.8265180358,27
0.827,26
0.827,25
0.8277966578,26
0.828,25
0.828,24
0.829,23
0.83,22
0.83,21
0.8303136788,22
0.8308661338,23
0.831,22
0.831,21
0.8315360288,22
0.8319771628,23
0.832,22
0.8326524838,23
0.833,22
0.833,21
0.8333471468,22
0.8337085508,23
0.834,22
0.834,21
0.835,20
0.836,19
0.836,18
0.8363605428,19
0.8367475008,20
0.837,19
0.837,18
0.8372859178,19
0.8376515958,20
0.8379847598,21
0.838,20
0.8385169598,21
0.8388615298,22
0.839,21
0.839,20
0.8396675718,21
0.84,20
0.84,19
0.8402312228,20
0.8406069078,21
0.8409699648,22
0.841,21
0.8415564678,22
0.8419179368,23
0.842,22
0.842,21
0.8425139648,22
0.8428825088,23
0.843,22
0.843,21
0.8434384498,22
0.8437951228,23
0.844,22
0.8443556988,23
0.8447074818,24
0.845,23
0.845,22
0.8458986088,23
0.846,22
0.8465157428,23
0.8469051448,24
0.847,23
0.847,22
0.8475010698,23
0.8478670918,24
0.848,23
0.848,22
0.8484005478,23
0.8487564568,24
0.849,23
0.8492891668,24
0.8496410738,25
0.85,24
0.85,23
0.8506176058,24
0.851,23
0.851,22
0.8512688498,23
0.8516645308,24
0.852,23
0.8526246538,24
0.853,23
0.853,22
0.8533781908,23
0.8538124738,24
0.854,23
0.854,22
0.8544121388,23
0.8548177038,24
0.855,23
0.8554530448,24
0.8558424948,25
0.856,24
0.856,23
0.857,22
0.857,21
0.858,20
0.859,19
0.859,18
0.8594984738,19
0.86,18
0.86,17
0.8602931038,18
0.8607346818,19
0.861,18
0.8617438158,19
0.862,18
0.862,17
0.8624113188,18
0.8628281098,19
0.863,18
0.8635137368,19
0.8639209978,20
0.864,19
0.864,18
0.8645872788,19
0.8649915598,20
0.865,19
0.865,18
0.8656003608,19
0.866,18
0.8660025488,19
0.8666654298,20
0.867,19
0.867,18
0.868,17
0.868,16
0.869,15
0.8698469898,16
0.87,15
0.87,14
0.8704880868,15
0.8709325108,16
0.871,15
0.871,14
0.8715744178,15
0.8719852448,16
0.872,15
0.8729880318,16
0.873,15
0.873,14
0.8736265548,15
0.874,14
0.874,13
0.8743060538,14
0.8747431648,15
0.875,14
0.8753652348,15
0.8757923118,16
0.876,15
0.876,14
0.8763851208,15
0.8768072698,16
0.877,15
0.877,14
0.8774345408,15
0.8778729138,16
0.878,15
0.879,14
0.879,13
0.88,12
0.88,11
0.8803431258,12
0.8807979208,13
0.881,12
0.8814365018,13
0.8818620008,14
0.882,13
0.882,12
0.8825069178,13
0.8829446798,14
0.883,13
0.884,12
0.884,11
0.8843226408,12
0.8847793678,13
0.885,12
0.885,11
0.8854145028,12
0.8858160318,13
0.886,12
0.8864547018,13
0.8868616318,14
0.887,13
0.887,12
0.8874726988,13
0.8878674468,14
0.888,13
0.888,12
0.8885239988,13
0.8889143508,14
0.889,13
0.89,12
0.89,11
0.891,10
0.891,9
0.8914587018,10
0.8918919498,11
0.892,10
0.8925047168,11
0.8929074648,12
0.893,11
0.893,10
0.8934780188,11
0.8938859008,12
0.894,11
0.894,10
0.8948269318,11
0.895,10
0.8954405418,11
0.8958423678,12
0.896,11
0.896,10
0.8964601888,11
0.8968302178,12
0.897,11
0.897,10
0.8975427268,11
0.8979341048,12
0.898,11
0.8986035868,12
0.899,11
0.899,10
0.8993007558,11
0.8996910538,12
0.9,11
0.901,10
0.901,9
0.902,8
0.902,7
0.9025835178,8
0.903,7
0.9032736128,8
0.9036828138,9
0.904,8
0.904,7
0.9042316428,8
0.9046023108,9
0.9049387928,10
0.905,9
0.905,8
0.9059042158,9
0.906,8
0.9064917248,9
0.9068580298,10
0.907,9
0.907,8
0.9074177088,9
0.9077789258,10
0.908,9
0.908,8
0.9083572238,9
0.9087163068,10
0.909,9
0.9092573378,10
0.9096111058,11
0.9099397668,12
0.91,11
0.91,10
0.9104715548,11
0.9108491658,12
0.911,11
0.911,10
0.912,9
0.9129473158,10
0.913,9
0.913,8
0.9135073318,9
0.9138782348,10
0.914,9
0.914,8
0.9143989548,9
0.9147427628,10
0.915,9
0.9152524708,10
0.9155932538,11
0.9159120028,12
0.916,11
0.916,10
0.9168062118,11
0.917,10
0.9173526758,11
0.9177128848,12
0.918,11
0.918,10
0.9182730708,11
0.9186228398,12
0.9189459558,13
0.919,12
0.919,11
0.9194546128,12
0.9197949278,13
0.92,12
0.9203162308,13
0.9206697198,14
0.9209921288,15
0.921,14
0.921,13
0.9215121398,14
0.9218582358,15
0.922,14
0.922,13
0.923,12
0.924,11
0.924,10
0.9244778888,11
0.9248644328,12
0.925,11
0.925,10
0.9254008688,11
0.9257671558,12
0.926,11
0.9263066858,12
0.9266646748,13
0.9269970538,14
0.927,13
0.927,12
0.9278984658,13
0.928,12
0.928,11
0.9284592158,12
0.9288226948,13
0.929,12
0.9293741018,13
0.9297205368,14
0.93,13
0.93,12
0.9302387418,13
0.9305804658,14
0.9308998168,15
0.931,14
0.931,13
0.9314163298,14
0.9317594628,15
0.932,14
0.9323095198,15
0.9326509158,16
0.9329666228,17
0.933,16
0.933,15
0.934,14
0.934,13
0.935,12
0.9354489888,13
0.9358176188,14
0.936,13
0.936,12
0.9363348368,13
0.9366869508,14
0.937,13
0.9372013488,14
0.9375488478,15
0.9378700898,16
0.938,15
0.938,14
0.9387880488,15
0.939,14
0.939,13
0.9393163698,14
0.9396621288,15
0.9399932668,16
0.94,15
0.9405941458,16
0.9409778088,17
0.941,16
0.941,15
0.9415210498,16
0.9418847848,17
0.942,16
0.942,15
0.9424051518,16
0.9427513628,17
0.943,16
0.9432991038,17
0.9436515878,18
0.9439695448,19
0.944,18
0.944,17
0.945,16
0.945,15
0.946,14
0.9467586088,15
0.947,14
0.947,13
0.9473336278,14
0.9477041968,15
0.948,14
0.948,13
0.9482582768,14
0.9486214668,15
0.9489555408,16
0.949,15
0.9499074258,16
0.95,15
0.95,14
0.9504455558,15
0.9508025338,16
0.951,15
0.951,14
0.9513692728,15
0.9517390368,16
0.952,15
0.9522860728,16
0.9526332908,17
0.9529552598,18
0.953,17
0.953,16
0.9534528978,17
0.9537949728,18
0.954,17
0.9543258128,18
0.9546662188,19
0.9549837848,20
0.955,19
0.955,18
0.956,17
0.956,16
0.957,15
0.9575812168,16
0.9579666408,17
0.958,16
0.958,15
0.9584832018,16
0.9588405088,17
0.959,16
0.959,15
0.9593752998,16
0.9597390168,17
0.96,16
0.9606655568,17
0.961,16
0.961,15
0.9612182528,16
0.9615731788,17
