SduBuffer:vector ExtClientServerExample.gnb.cellularNic.rlc.UmTxEntity Lcid: 1 (#0 - test-0-20250824-22:30:48-60671),
0.591,2
0.5913328858,3
0.592,2
0.592,1
0.5926051208,2
0.593,1
0.5936743128,2
0.594,1
0.594,0
0.5945461928,1
0.595,0
0.5976600118,1
0.598,0
0.5982778618,1
0.5986604438,2
0.5989969548,3
0.599,2
0.5995225058,3
0.5998876958,4
0.6,3
0.6,2
0.6007193158,3
0.601,2
0.6012175338,3
0.6015814308,4
0.6019146758,5
0.602,4
0.602,3
0.6025069968,4
0.6028669658,5
0.603,4
0.603,3
0.6034126538,4
0.6037710198,5
0.604,4
0.6043082118,5
0.6046652628,6
0.605,5
0.605,4
0.6050025488,5
0.6055414938,6
0.6058685088,7
0.606,6
0.606,5
0.6067376258,6
0.607,5
0.6073176088,6
0.6076669508,7
0.6079841618,8
0.608,7
0.608,6
0.6084860788,7
0.6088290378,8
0.609,7
0.609,6
0.6093479428,7
0.6096851768,8
0.61,7
0.6102136408,8
0.6105593308,9
0.6108778078,10
0.611,9
0.611,8
0.6117674498,9
0.612,8
0.612,7
0.6123505588,8
0.6127108048,9
0.613,8
0.6132907278,9
0.6136469758,10
0.6139753028,11
0.614,10
0.614,9
0.6145113868,10
0.6148573278,11
0.615,10
0.615,9
0.6153962178,10
0.6157466418,11
0.616,10
0.6162990858,11
0.6166578468,12
0.617,11
0.617,10
0.6170007198,11
0.618,10
0.619,9
0.619,8
0.62,7
0.62,6
0.6202589058,7
0.621,6
0.6219450828,7
0.622,6
0.622,5
0.623,4
0.623,3
0.6237311568,4
0.624,3
0.6246203678,4
0.625,3
0.625,2
0.6254350328,3
0.6259257348,4
0.626,3
0.626,2
0.6265736498,3
0.6269856288,4
0.627,3
0.6275995968,4
0.628,3
0.628,2
0.629,1
0.629,0
0.6308238768,1
0.631,0
0.6313776878,1
0.6317431218,2
0.632,1
0.6322850918,2
0.6326571468,3
0.6329995958,4
0.633,3
0.633,2
0.6339539988,3
0.634,2
0.6344518118,3
0.6348083978,4
0.635,3
0.635,2
0.6353435848,3
0.6356997108,4
0.636,3
0.636,2
0.6362291888,3
0.6365832938,4
0.6369120388,5
0.637,4
0.6374343178,5
0.6377715518,6
0.638,5
0.638,4
0.6382864528,5
0.6386332028,6
0.6389535498,7
0.639,6
0.639,5
0.64,4
0.6405408668,5
0.6409025098,6
0.641,5
0.641,4
0.6415040688,5
0.6418804228,6
0.642,5
0.642,4
0.6424820998,5
0.6428475578,6
0.643,5
0.6433894958,6
0.6437424788,7
0.644,6
0.644,5
0.6446707358,6
0.645,5
0.645,4
0.6452441618,5
0.6456104678,6
0.6459393838,7
0.646,6
0.6464812898,7
0.6468219788,8
0.647,7
0.647,6
0.6473472208,7
0.6476874258,8
0.648,7
0.648,6
0.6480023898,7
0.6485306198,8
0.6488558308,9
0.649,8
0.6494007998,9
0.6497398408,10
0.65,9
0.65,8
0.651,7
0.652,6
0.652,5
0.6522141678,6
0.6525854868,7
0.6529114838,8
0.653,7
0.653,6
0.6534158428,7
0.6537588868,8
0.654,7
0.6542626638,8
0.6546550198,9
0.6549915398,10
0.655,9
0.655,8
0.6559324178,9
0.656,8
0.656,7
0.6564785758,8
0.6568223668,9
0.657,8
0.6573701088,9
0.6577201998,10
0.658,9
0.658,8
0.6582450408,9
0.6585874948,10
0.6589081068,11
0.659,10
0.659,9
0.6594267348,10
0.6597657778,11
0.66,10
0.6602975148,11
0.6606391478,12
0.6609565728,13
0.661,12
0.661,11
0.662,10
0.662,9
0.663,8
0.6634731208,9
0.6638503348,10
0.664,9
0.664,8
0.6643482138,9
0.6646944988,10
0.665,9
0.665,8
0.6652143958,9
0.6655670328,10
0.6658899528,11
0.666,10
0.6667958248,11
0.667,10
0.667,9
0.6673174968,10
0.6677004408,11
0.668,10
0.6682833558,11
0.6686445778,12
0.6689700478,13
0.669,12
0.669,11
0.6695083928,12
0.6698547748,13
0.67,12
0.67,11
0.6703508798,12
0.6706889168,13
0.671,12
0.6712179808,13
0.6715694398,14
0.6718959078,15
0.672,14
0.672,13
0.673,12
0.673,11
0.674,10
0.6746369038,11
0.675,10
0.675,9
0.6752021678,10
0.6755645348,11
0.6758950068,12
0.676,11
0.676,10
0.6764018258,11
0.6767398928,12
0.677,11
0.6776728148,12
0.678,11
0.678,10
0.6782361258,11
0.6786037598,12
0.6789411338,13
0.679,12
0.679,11
0.6795376908,12
0.6799007108,13
0.68,12
0.6804686888,13
0.6808730548,14
0.681,13
0.681,12
0.6814435258,13
0.6818041398,14
0.682,13
0.682,12
0.6824171648,13
0.6827732038,14
0.683,13
0.684,12
0.684,11
0.685,10
0.685,9
0.6854724808,10
0.6858960048,11
0.686,10
0.6864577038,11
0.6868853398,12
0.687,11
0.687,10
