rlcDelayDl:vector ExtClientServerExample.ue.cellularNic.nrRlc.um (#0 - test-0-20250824-22:30:48-60671),
0.806,0.009715427199999997
0.806,0.0093660492
0.807,0.010045623199999999
0.808,0.0105196512
0.808,0.010178624199999999
0.809,0.010370392199999998
0.809,0.010029437199999997
0.81,0.010531697199999998
0.811,0.011181952199999997
0.811,0.010632706199999997
0.812,0.011289074199999998
0.812,0.010742484199999999
0.813,0.011400877199999999
0.814,0.0120844872
0.814,0.0115455372
0.815,0.0121893252
0.815,0.011642995199999998
0.816,0.012300518199999999
0.817,0.010509828199999997
0.817,0.010133869199999999
0.818,0.0106219902
0.818,0.010275685199999998
0.819,0.010700716199999998
0.82,0.011340792199999997
0.82,0.011002003199999998
0.821,0.011042308199999999
0.821,0.010518792199999998
0.822,0.011178775199999997
0.823,0.0116423522
0.823,0.0113038492
0.824,0.011782036199999998
0.824,0.0114335822
0.825,0.0121119942
0.826,0.012608154199999999
0.826,0.012265130199999998
0.827,0.0130068222
0.828,0.0135397672
0.828,0.013203694199999997
0.829,0.011714947199999999
0.829,0.011348339199999998
0.83,0.012022294199999998
0.831,0.012512572199999998
0.831,0.012163734199999998
0.832,0.012660240199999998
0.832,0.0123174752
0.833,0.012338994199999998
0.834,0.012766918199999997
0.834,0.012411637199999998
0.835,0.013084809199999998
0.835,0.012561586199999998
0.836,0.0132074072
0.837,0.013671843199999998
0.837,0.013327307199999999
0.838,0.014007221199999999
0.838,0.013553216199999999
0.839,0.014215444199999999
0.84,0.0146637802
0.84,0.014320527199999998
0.841,0.015063025199999999
0.841,0.012591445199999998
0.842,0.013222519199999997
0.843,0.0136896372
0.843,0.013322226199999998
0.844,0.013819195199999998
0.845,0.014461915199999997
0.845,0.014132670199999999
0.846,0.014218464199999999
0.846,0.013677101199999999
0.847,0.0143369962
0.848,0.0150140692
0.848,0.0144911692
0.849,0.0151351352
0.849,0.0145964292
0.85,0.015253320199999999
0.851,0.015733732199999995
0.851,0.015380056199999998
0.852,0.016063010199999998
0.852,0.0156090662
0.853,0.016267115200000001
0.854,0.016999868199999996
0.854,0.0147279872
0.855,0.015369656199999998
0.855,0.0150488452
0.856,0.0155369102
0.857,0.0161931082
0.857,0.015655051199999998
0.858,0.016307172199999997
0.858,0.015425253199999998
0.859,0.016067323199999997
0.86,0.016504216199999997
0.86,0.016151694199999996
0.861,0.016621533199999996
0.861,0.016280890199999994
0.862,0.016738482200000001
0.863,0.016263921199999996
0.863,0.015323520199999999
0.864,0.009230326199999999
0.865,0.009107106199999999
0.865,0.008574210199999997
0.866,0.0092309242
0.866,0.0087127312
0.867,0.009367332199999998
0.868,0.0100485402
0.868,0.009512052199999999
0.869,0.0101730142
0.869,0.0080124102
0.87,0.008429585199999999
0.871,0.009079554199999999
0.871,0.008587383199999999
0.872,0.009243624199999998
0.872,0.008736866199999998
0.873,0.009397699199999998
0.874,0.0100800412
0.874,0.009271470199999999
0.875,0.009705982199999997
0.875,0.009356441199999999
0.876,0.0100366042
0.877,0.010495918199999999
0.877,0.010153221199999999
0.878,0.010643500199999999
0.878,0.010288683199999999
0.879,0.010773312199999999
0.88,0.011431185199999999
0.88,0.011110326199999999
0.881,0.011572969199999998
0.882,0.012230835199999998
0.882,0.011107580199999997
0.883,0.0115275832
0.883,0.0111778662
0.884,0.011656177199999999
0.885,0.0123144832
0.885,0.011819362199999999
0.886,0.012475541199999998
0.886,0.012155823199999998
0.887,0.0126437122
0.888,0.013303804199999998
0.888,0.012498479199999998
0.889,0.0131602972
0.889,0.012659435199999999
0.89,0.0133083812
0.891,0.013703526199999999
0.891,0.0133506712
0.892,0.0140167762
0.892,0.0134671882
0.893,0.014105731199999998
0.894,0.0145960602
0.894,0.014250284199999997
0.895,0.014706093199999999
0.895,0.014357741199999999
0.896,0.015026201199999998
0.897,0.012793405199999999
0.897,0.0124136702
0.898,0.013085625199999999
0.899,0.013571628199999997
0.899,0.013226289199999997
0.9,0.0133169232
0.9,0.012801785199999998
0.901,0.013454415199999999
0.902,0.014130950199999998
0.902,0.013583483199999999
0.903,0.014239676199999998
0.903,0.013688327199999999
0.904,0.014350352199999999
0.905,0.015036277199999999
0.905,0.014548732199999997
0.906,0.015207447199999998
0.906,0.0146783802
0.907,0.015340206199999997
0.908,0.016022922199999997
0.908,0.0131964382
0.909,0.013601218199999997
0.909,0.0132393692
0.91,0.013727118199999999
0.911,0.014372475199999998
0.911,0.014044906199999998
0.912,0.0142195432
0.912,0.013651569199999997
0.913,0.014287719199999999
0.914,0.014721267199999998
0.914,0.014364257199999997
0.915,0.015032836199999999
0.915,0.014488475199999999
0.916,0.015135060199999997
